artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Sabrina Carpenter,espresso,2354243431,2025-06-30,true,2024-02-14,2024-06-08,"Govball 2024, New York"
Sabrina Carpenter,please please please,1492829066,2025-06-30,true,2024-02-14,2024-06-08,"Govball 2024, New York"
Sabrina Carpenter,nonsense,1337631813,2025-06-30,true,2023-03-17,2024-06-08,"Govball 2024, New York"
Sabrina Carpenter,taste,1108322105,2025-06-30,true,2024-02-14,2024-06-08,"Govball 2024, New York"
Sabrina Carpenter,feather,933108331,2025-06-30,true,2023-03-17,2024-06-08,"Govball 2024, New York"
Sabrina Carpenter,read your mind,190922789,2025-06-30,true,2023-03-17,2024-06-08,"Govball 2024, New York"
