artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Carly Rae Jepsen,call me maybe,1729181236,2025-06-29,true,2011-09-20,2024-06-08,"Govball 2024, New York"
Carly Rae Jepsen,goodtime,726632073,2025-06-29,true,2012-06-20,,
Carly Rae Jepsen,I really like you,543478176,2025-06-29,true,2015-03-02,2024-06-08,"Govball 2024, New York"
Carly Rae Jepsen,run away with me,179132012,2025-06-30,true,2015-03-02,2024-06-08,"Govball 2024, New York"
Carly Rae Jepsen,cut to the feeling,159021049,2025-06-30,true,2017-05-26,2024-06-08,"Govball 2024, New York"
Carly Rae Jepsen,your type,45383686,2025-06-30,false,2015-03-02,2024-06-08,"Govball 2024, New York"
