artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Glass Animals,heat waves,3463786661,2025-07-19,true,2021-03-21,2025-06-08,"Govball 2025, New York"
Glass Animals,tokyo drifting,156073353,2025-07-19,true,2020-08-07,2025-06-08,"Govball 2025, New York"
Glass Animals,the other side of paradise,281105762,2025-07-19,true,2016-08-26,2025-06-08,"Govball 2025, New York"
Glass Animals,your love(Deja Vu),114721804,2025-07-19,false,2020-08-07,2025-06-08,"Govball 2025, New York"
Glass Animals,youth,239805680,2025-07-19,false,2016-08-26,2025-06-08,"Govball 2025, New York"
