artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Gracie Abrams,risk,288233817,2025-07-19,false,2024-06-21,2024-10-18,"Hard Rock Stadium, Miami"
Gracie Abrams,I love you I'm sorry,738644317,2025-07-19,true,2024-06-21,2024-10-18,"Hard Rock Stadium, Miami"
Gracie Abrams,That's so true,1204412942,2025-07-19,true,2024-06-21,2024-10-18,"Hard Rock Stadium, Miami"
Gracie Abrams,us,228063290,2025-07-19,true,2024-06-21,2024-10-18,"Hard Rock Stadium, Miami"
Gracie Abrams,close to you,426702960,2025-07-19,true,2024-06-21,2024-10-18,"Hard Rock Stadium, Miami"
