artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Benson Boone,sorry I'm here for someone else,198441572,2025-07-19,true,2025-02-27,2025-06-06,"Govball 2025, New York"
Benson Boone,cry,210240381,2025-07-19,true,2024-04-05,2025-06-06,"Govball 2025, New York"
Benson Boone,slow it down,829947570,2025-07-19,true,2024-04-05,2025-06-06,"Govball 2025, New York"
Benson Boone,pretty slowly,144809410,2025-07-19,true,2024-08-15,2025-06-06,"Govball 2025, New York"
Benson Boone,momma song,24205229,2025-07-19,false,2025-05-22,2025-06-06,"Govball 2025, New York"
Benson Boone,mystical magical,162882097,2025-07-19,true,2025-02-27,2025-06-06,"Govball 2025, New York"
Benson Boone,beautiful things,2306883895,2025-07-19,true,2024-04-05,2025-06-06,"Govball 2025, New York"
Benson Boone,in the stars,1165783809,2025-07-19,true,2022-04-29,2025-06-06,"Govball 2025, New York"
Benson Boone,forever and a day,21803195,2025-07-19,true,2024-04-05,2025-06-06,"Govball 2025, New York"
