artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
SZA,seek and destroy,187157150,2025-07-19,false,2022-12-09,2024-06-09,"Govball 2024, New York"
SZA,broken clocks,880333901,2025-07-19,true,2017-06-09,2024-06-09,"Govball 2024, New York"
SZA,ghost in the machine,253167867,2025-07-19,false,2022-12-09,2024-06-09,"Govball 2024, New York"
SZA,shirt,598778337,2025-07-19,true,2022-06-09,2024-06-09,"Govball 2024, New York"
SZA,all the stars,2477687972,2025-07-19,true,2018-02-09,2024-06-09,"Govball 2024, New York"
SZA,kiss me more,2154834019,2025-07-19,true,2021-06-25,,
