artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Tyler the creator,St Chroma,259093199,2025-08-12,false,2024-10-28,2025-07-28,"Prudential Center, New York"
Tyler the creator,Daring I,182773653,2025-08-12,true,2024-10-28,2025-07-28,"Prudential Center, New York"
Tyler the creator,Sticky,817780198,2025-08-12,true,2019-05-17,2025-07-28,"Prudential Center, New York"
Tyler the creator,Earfquake,1237533479,2025-08-12,true,2019-05-17,2025-07-28,"Prudential Center, New York"
Tyler the creator,See you again,2529692927,2025-08-12,true,2017-07-17,2025-07-28,"Prudential Center, New York"
Tyler the creator,New magic wand,817780198,2025-08-12,false,2019-05-17,2025-07-28,"Prudential Center, New York"
