artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
FLO,walk like this,26338340,2025-06-30,false,2023-11-15,2024-06-07,"Govball 2024, New York"
Dominic Fike,mona lisa,202209645,2025-06-30,false,2023-07-17,2024-06-07,"Govball 2024, New York"
Cannons,fire for you,224013248,2025-06-30,false,2019-07-12,2024-06-09,"Govball 2024, New York"
Thuy,girls like me don't cry,103377116,2025-07-01,true,2022-10-06,2024-05-11,"HITC 2024, New York"
Raye,Oscar winning tears,157240919,2025-07-19,true,2023-02-03,2025-06-08,"Govball 2025, New York"
Raye,Escapism,1044683442,2025-07-19,true,2023-02-03,2025-06-08,"Govball 2025, New York"
